phase,,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,training,training,training,training,training,training,training,training,training,training,training,training,training,training
metric,,action_saturated_fraction,comm_active_sender_fraction,comm_attention_entropy,comm_contribution_to_encoder_norm_ratio,comm_effective_neighbor_count,comm_mean_message_norm,comm_nominal_sender_bits_per_step,comm_realized_bits_per_step,loc_max,loc_min,scale_mean,clip_fraction,comm_active_sender_fraction,comm_attention_entropy,comm_contribution_to_encoder_norm_ratio,comm_effective_neighbor_count,comm_mean_message_norm,comm_nominal_sender_bits_per_step,comm_realized_bits_per_step,entropy,explained_variance,grad_norm_loss_critic,grad_norm_loss_objective,kl_approx,loss_critic
method,seed,,,,,,,,,,,,,,,,,,,,,,,,,
broadcast,1104,0.0,1.0,,1.1414008927345276,,2.0571299386024475,3072.0,6144.0,2.4985387325286865,-2.358935594558716,0.2282967865467071,0.0804333314299583,1.0,,1.1968858242034912,,2.105909824371338,3072.0,6144.0,-2.053795576095581,0.2333750277757644,622.96875,313.9290466308594,0.0055114505812525,2622.096435546875
gated,1100,0.0,1.0,,0.8227852288881937,,1.338973572254181,3072.0,6144.0,2.9608452320098877,-2.6883366107940674,0.2503425776958465,0.0477888882160186,1.0,,0.7871899008750916,,1.2575362920761108,3072.0,6144.0,-0.9046316742897034,0.373489648103714,315.31719970703125,77.22925567626953,0.0035302997566759,1176.03173828125
gated,1101,0.0,1.0,,0.2327285160621007,,0.4121833431720734,3072.0,6144.0,1.5219674110412598,-0.7957496047019958,0.7934768795967102,0.0078333327546715,1.0,,0.2280183583498001,,0.4227748513221741,3072.0,6144.0,1.2619763612747192,0.48859903216362,3.013791799545288,0.4605551064014435,0.0012136906152591,1.8610620498657229
gated,1102,0.0,1.0,,0.2293065047264099,,0.474788082242012,3072.0,6144.0,1.8615062236785889,-1.29718816280365,0.7980778217315674,0.004749999847263,1.0,,0.2391937524080276,,0.4932554066181183,3072.0,6144.0,1.1974108219146729,0.6136847138404846,6.876857757568359,0.9514036178588868,0.0011565190507099,7.179406642913818
gated,1103,0.0,1.0,,0.680589333375295,,1.1476535040140152,3072.0,6144.0,2.825666666030884,-2.7005343437194824,0.3853597640991211,0.0302222222089767,1.0,,0.6692676544189453,,1.1399914026260376,3072.0,6144.0,-0.1481847614049911,0.188366562128067,179.89817810058594,101.94313049316406,0.0024751417804509,664.2423095703125
gated,1104,0.0,1.0,,0.2950520612796147,,0.4997065538167953,3072.0,6144.0,1.5415042638778689,-2.013625144958496,0.8093058466911316,0.0073833330534398,1.0,,0.2920833230018616,,0.5107307434082031,3072.0,6144.0,1.244484782218933,0.5664623975753784,4.02702522277832,0.9695240259170532,0.0018187578534707,5.448863983154297
graph,1100,0.0,1.0,0.6871933728456497,0.1309701498349507,1.9883363151550293,1.464900850057602,6144.0,12288.0,1.2115108966827393,-1.7627240419387815,0.8610829710960388,0.0307777784764766,1.0,0.6836657524108887,0.1439628899097442,297.2265319824219,1.549676537513733,6144.0,12288.0,1.2685118913650513,0.4261666536331177,5.269305229187012,0.89327472448349,0.0036043885629624,7.374589920043945
graph,1101,0.0,1.0,0.6191737693548203,0.7871893115838369,1.8704047346115111,3.772160747051239,6144.0,12288.0,2.738358497619629,-2.4167981147766113,0.2624519765377044,0.0444277785718441,1.0,0.5991417169570923,0.749042809009552,275.3730773925781,3.741146087646485,6144.0,12288.0,-0.8746323585510254,0.1270817220211029,69.84127044677734,160.27122497558594,0.0040978151373565,577.4583129882812
graph,1102,0.0,1.0,0.6794532686471939,0.2703083034356435,1.9740254390239715,1.6966667318344115,6144.0,12288.0,2.4139742851257324,-2.559478759765625,0.7830209732055664,0.0228222236037254,1.0,0.6756259799003601,0.2688583433628082,294.99627685546875,1.7012734413146973,6144.0,12288.0,1.05156409740448,0.6659162044525146,18.41631317138672,3.2394933700561523,0.0026761556509882,20.76251983642578
graph,1103,0.0,1.0,0.6475862497091294,0.7528192114830017,1.917164716720581,3.3984136152267457,6144.0,12288.0,2.5924837589263916,-2.745478868484497,0.2643213272094726,0.0824944451451301,1.0,0.6436386704444885,0.7643963694572449,286.47344970703125,3.4696974754333496,6144.0,12288.0,-1.1953721046447754,0.1757932901382446,165.75465393066406,91.80733489990234,0.0057800840586423,1002.2708129882812
graph,1104,0.0,1.0,0.659063166975975,0.1394385787844657,1.9368754351139068,1.6412740778923034,6144.0,12288.0,0.7285463809967041,-1.057597279548645,0.8483883738517761,0.0237611141055822,1.0,0.6531870365142822,0.1609829813241958,288.87225341796875,1.7234911918640137,6144.0,12288.0,1.2709524631500244,0.4136970937252044,3.3321831226348877,0.8031076192855835,0.0028226256836205,4.6745285987854
identity,1100,0.0,0.0,,0.0,,0.0,0.0,0.0,2.65621018409729,-2.8652007579803467,0.3226341009140014,0.0279111098498106,0.0,,0.0,,0.0,0.0,0.0,-0.4881086349487304,0.1570713967084884,300.1123962402344,51.36249542236328,0.0023929325398057,1127.8265380859375
identity,1101,0.0,0.0,,0.0,,0.0,0.0,0.0,1.3933285474777222,-1.6933515071868896,0.8268935680389404,0.0326611101627349,0.0,,0.0,,0.0,0.0,0.0,1.2150393724441528,0.4570647776126861,19.534820556640625,3.3000214099884033,0.0029313007835298,50.51080322265625
identity,1102,0.0,0.0,,0.0,,0.0,0.0,0.0,2.5477826595306396,-2.425435781478882,0.3123323917388916,0.0547722242772579,0.0,,0.0,,0.0,0.0,0.0,-0.6232559084892273,0.092078261077404,233.2355804443359,38.92069625854492,0.00400469917804,724.9181518554688
identity,1103,0.0,0.0,,0.0,,0.0,0.0,0.0,1.2004550695419312,-1.2276233434677124,0.8114442229270935,0.0154333319514989,0.0,,0.0,,0.0,0.0,0.0,1.2444508075714111,0.4525455832481384,3.225581407546997,0.5306751728057861,0.0009898199932649,3.936479806900024
identity,1104,0.0,0.0,,0.0,,0.0,0.0,0.0,1.4642257690429688,-1.7131637334823608,0.765423059463501,0.0295555554330348,0.0,,0.0,,0.0,0.0,0.0,1.1661932468414309,0.3712460696697235,29.32684898376465,3.711674690246582,0.0027254994492977,118.38468933105467
